participant # overall,participant by year,acreage,latitude,longitude
2021-1,2021-1,0.1722,35.124503,-106.679431
2021-2,2021-2,0.0000,35.071342,-106.616803
2021-3,2021-3,0.0344,35.071348,-106.616849
2021-4,2021-4,0.0000,35.102245,-106.665974
2021-5,2021-5,0.1148,35.1243512,-106.50768
2021-6,2021-6,0.0275,35.102245,-106.665974
2021-7,2021-7,0.0574,35.0995005,-106.6761211
2021-8,2021-8,0.9986,35.1175268,-106.6669887
2021-9,2021-9,0.0344,35.09949,-106.67395
2021-10,2021-10,0.7117,35.0997491,-106.4923351
2021-11,2021-11,0.0034,35.0708565,-106.590646
2021-12,2021-12,0.1148,35.2400722,-106.6270133
2021-13,2021-13,0.1148,35.1485815,-106.4857081
2021-14,2021-14,0.9986,35.1140227,-106.5450408
2021-15,2021-15,0.5051,35.148608,-106.483515
2021-16,2021-16,0.1148,35.114023,-106.545041
2021-17,2021-17,0.5051,35.112853,-106.669574
2021-18,2021-18,0.2525,35.1239863,-106.6673981
2021-19,2021-19,0.2525,35.0907391,-106.5755811
2021-20,2021-20,0.0574,35.1263628,-106.6536591
2021-21,2021-21,0.2525,35.1240001,-106.6878942
2021-22,2021-22,0.1148,35.122881,-106.6792827
2021-23,2021-23,0.1722,35.0947424,-106.4912832
2021-24,2021-24,0.1722,35.1653597,-106.3148341
2021-25,2021-25,0.1148,35.0807289,-106.6433618
2021-26,2021-26,0.5051,35.1121369,-106.5080665
2021-27,2021-27,0.0574,35.1216461,-106.5766859
2021-28,2021-28,0.1148,35.125945,-106.504324
2021-29,2021-29,0.5051,35.0689317,-106.6251198
2021-30,2021-30,0.1722,35.1535848,-106.6353889
2021-31,2021-31,0.2525,35.096418,-106.590873
2021-32,2021-32,0.5051,35.0688934,-106.4472619
2021-33,2021-33,0.0574,35.150559,-106.656002
2021-34,2021-34,0.5051,35.2249018,-106.609653
2021-35,2021-35,0.2525,35.0595138,-106.5955239
2021-36,2021-36,0.1148,35.2211313,-106.613613
2021-37,2021-37,0.2525,35.1078429,-106.680677
2021-38,2021-38,1.1478,35.109253,-106.3297873
2021-39,2021-39,0.0344,35.130093,-106.7194561
2021-40,2021-40,0.9986,35.1564237,-106.7069207
2021-41,2021-41,0.0115,35.0975349,-106.680162
2021-42,2021-42,0.0344,35.0964901,-106.5733252
2021-43,2021-43,0.2525,35.0994369,-106.5149788
2021-44,2021-44,0.2525,35.1495659,-106.5150907
2021-45,2021-45,0.1722,35.1458419,-106.5079491
2021-46,2021-46,0.0344,35.1090686,-106.6763841
2021-47,2021-47,0.0574,35.0595455,-106.5252659
2021-48,2021-48,0.0574,35.094159,-106.576049
2021-50,2021-49,0.0344,35.11755,-106.588315
2021-49,2021-50,0.0344,35.122238,-106.53022
2021-51,2021-51,0.1148,35.210716,-106.671342
2021-52,2021-52,0.0574,35.112932,-106.368377
2021-53,2021-53,0.5051,35.061197,-106.575156
2021-54,2021-54,3.0000,35.313667,-106.508403
2021-55,2021-55,0.0574,35.100963,-106.672374
2021-56,2021-56,1.9399,34.9659232,-106.6979425
2021-57,2021-57,0.0115,35.0853003,-106.7005722
2021-58,2021-58,4.0000,35.0664231,-106.6043549
2021-59,2021-59,0.0230,35.1262723,-106.5393029
2021-60,2021-60,0.0574,35.1194863,-106.5524235
2021-61,2021-61,0.0115,35.1342544,-106.6617252
2021-62,2021-62,0.0023,35.140756,-106.649371
2021-63,2021-63,0.0046,35.1244629,-106.5809144
2021-64,2021-64,0.0872,35.1603376,-106.6427171
2021-65,2021-65,0.1722,35.1411279,-106.6509583
2021-66,2021-66,0.5051,35.1138888,-106.6593642
2021-67,2021-67,0.0344,35.0812993,-106.4941557
2021-68,2021-68,0.2525,35.2764068,-106.6077651
2021-69,2021-69,0.0230,35.1355679,-106.5324006
2021-70,2021-70,0.2525,35.0744483,-106.6019104
2021-71,2021-71,0.0344,35.093271,-106.5509054
2021-72,2021-72,0.1148,35.0817486,-106.5977026
2021-73,2021-73,0.0115,35.1934274,-106.6279462
2021-74,2021-74,0.1148,35.1126759,-106.4931418
2021-75,2021-75,0.1722,35.0580074,-106.6756334
2021-76,2021-76,0.0230,35.0935656,-106.5864467
2021-77,2021-77,0.5051,35.1398864,-106.6455604
2021-78,2021-78,0.0046,35.1329634,-106.6726108
2021-79,2021-79,0.2525,35.1489795,-106.6687409
2021-80,2021-80,0.0574,35.115373,-106.4923211
2021-81,2021-81,25.0000,35.1471801,-106.5059578
2021-82,2021-82,0.0344,35.0981853,-106.6642713
2021-83,2021-83,0.0230,35.0616062,-106.5912302
2021-84,2021-84,0.1148,35.132653,-106.660931
2021-85,2021-85,0.0500,35.1550359,-106.6815071
2021-86,2021-86,0.2525,35.08697,-106.6217017
2021-87,2021-87,0.0574,35.1815504,-106.6253992
2021-88,2021-88,0.0574,35.0669111,-106.6897799
2021-89,2021-89,0.2525,34.1689,-106.5082034
2021-90,2021-90,1.2626,35.134213,-106.5103477
2021-91,2021-91,0.5051,35.0679039,-106.5821172
2021-92,2021-92,0.0574,35.1146925,-106.6715481
2021-93,2021-93,0.0574,35.0898621,-106.5633304
2021-94,2021-94,0.1148,35.1261707,-106.6842155
2021-95,2021-95,0.0459,35.1128456,-106.5503076
2021-96,2021-96,0.2525,35.1557346,-106.639669
2021-97,2021-97,0.0574,35.1324158,-106.6550138
2021-98,2021-98,1.0101,35.126266,-106.6805765
2021-99,2021-99,0.0574,35.090851,-106.6439145
2021-100,2021-100,0.9871,35.0978335,-106.5958164
2021-101,2021-101,0.1148,35.1709987,-106.6364615
2021-102,2021-102,0.0574,35.1120733,-106.5641551
2021-103,2021-103,0.5051,35.0846638,-106.6067036
2021-104,2021-104,0.1148,35.3368225,-106.4874861
2021-105,2021-105,0.0574,35.0852217,-106.6092846
2021-106,2021-106,2.0000,35.1316967,-106.666065
2021-107,2021-107,0.1148,35.0954101,-106.6177113
2021-108,2021-108,1.0331,35.168407,-106.5587313
2021-109,2021-109,0.0230,35.1272704,-106.6816808
2021-110,2021-110,0.1148,35.1650913,-106.6561191
2021-111,2021-111,1.0101,35.1854729,-106.5325846
2021-112,2021-112,1.0101,35.0594583,-106.5938544
2021-113,2021-113,0.5051,34.9961426,-106.6849755
2021-114,2021-114,0.0115,35.1601727,-106.7105187
2021-115,2021-115,2.0661,35.1145257,-106.5346538
2021-116,2021-116,0.0344,35.0940319,-106.5938595
2021-117,2021-117,0.0115,35.0695423,-106.5860316
2021-118,2021-118,0.1148,35.0892546,-106.6635804
2021-119,2021-119,0.1148,35.1875007,-106.5303291
2021-120,2021-120,0.0574,35.1006357,-106.5940651
2021-121,2021-121,1.0101,35.0014603,-106.6974582
2022-122,2022-1,0.0230,35.1202078,-106.6785038
2022-123,2022-2,0.5051,35.0936974,-106.5938595
2022-124,2022-3,0.2525,35.0641794,-106.5994252
2022-125,2022-4,0.1722,35.085657,-106.5999378
2022-126,2022-5,0.0115,35.0618753,-106.5922872
