acreage,participant by year,participant overall,latitude,longitude
0.17217631,2021-1,2021-1,35.1245030000,-106.6794310000
0.04591368,2021-2,2021-2,35.0713420000,-106.6168030000
0.03443526,2021-3,2021-3,35.0713480000,-106.6168490000
0.02295684,2021-4,2021-4,35.1022450000,-106.6659740000
0.11478421,2021-5,2021-5,35.1243512000,-106.5076800000
0.02754821,2021-6,2021-6,35.1022450000,-106.6659740000
0.0573921,2021-7,2021-7,35.0995005000,-106.6761211000
0.99862259,2021-8,2021-8,35.1175268000,-106.6669887000
0.03443526,2021-9,2021-9,35.0994900000,-106.6739500000
0.71166208,2021-10,2021-10,35.0997491000,-106.4923351000
0.00344353,2021-11,2021-11,35.0708565000,-106.5906460000
0.11478421,2021-12,2021-12,35.2400722000,-106.6270133000
0.11478421,2021-13,2021-13,35.1485815000,-106.4857081000
0.99862259,2021-14,2021-14,35.1140227000,-106.5450408000
0.50505051,2021-15,2021-15,35.1486080000,-106.4835150000
0.11478421,2021-16,2021-16,35.1140230000,-106.5450410000
0.50505051,2021-17,2021-17,35.1128530000,-106.6695740000
0.25252525,2021-18,2021-18,35.1239863000,-106.6673981000
0.25252525,2021-19,2021-19,35.0907391000,-106.5755811000
0.0573921,2021-20,2021-20,35.1263628000,-106.6536591000
0.25252525,2021-21,2021-21,35.1240001000,-106.6878942000
0.11478421,2021-22,2021-22,35.1228810000,-106.6792827000
0.17217631,2021-23,2021-23,35.0947424000,-106.4912832000
0.17217631,2021-24,2021-24,35.1653597000,-106.3148341000
0.11478421,2021-25,2021-25,35.0807289000,-106.6433618000
0.50505051,2021-26,2021-26,35.1121369000,-106.5080665000
0.0573921,2021-27,2021-27,35.1216461000,-106.5766859000
0.11478421,2021-28,2021-28,35.1259450000,-106.5043240000
0.50505051,2021-29,2021-29,35.0689317000,-106.6251198000
0.17217631,2021-30,2021-30,35.1535848000,-106.6353889000
0.25252525,2021-31,2021-31,35.0964180000,-106.5908730000
0.50505051,2021-32,2021-32,35.0688934000,-106.4472619000
0.0573921,2021-33,2021-33,35.1505590000,-106.6560020000
0.50505051,2021-34,2021-34,35.2249018000,-106.6096530000
0.25252525,2021-35,2021-35,35.0595138000,-106.5955239000
0.11478421,2021-36,2021-36,35.2211313000,-106.6136130000
0.25252525,2021-37,2021-37,35.1078429000,-106.6806770000
1.14784206,2021-38,2021-38,35.1092530000,-106.3297873000
0.03443526,2021-39,2021-39,35.1300930000,-106.7194561000
0.99862259,2021-40,2021-40,35.1564237000,-106.7069207000
0.01147842,2021-41,2021-41,35.0975349000,-106.6801620000
0.03443526,2021-42,2021-42,35.0964901000,-106.5733252000
0.25252525,2021-43,2021-43,35.0994369000,-106.5149788000
0.25252525,2021-44,2021-44,35.1495659000,-106.5150907000
0.17217631,2021-45,2021-45,35.1458419000,-106.5079491000
0.03443526,2021-46,2021-46,35.1090686000,-106.6763841000
0.0573921,2021-47,2021-47,35.0595455000,-106.5252659000
0.0573921,2021-48,2021-48,35.0941590000,-106.5760490000
0.03443526,2021-49,2021-49,35.1175500000,-106.5883150000
0.03443526,2021-50,2021-50,35.1222380000,-106.5302200000
0.11478421,2021-51,2021-51,35.2107160000,-106.6713420000
0.0573921,2021-52,2021-52,35.1129320000,-106.3683770000
0.50505051,2021-53,2021-53,35.0611970000,-106.5751560000
3,2021-54,2021-54,35.3136670000,-106.5084030000
0.0573921,2021-55,2021-55,35.1009630000,-106.6723740000
1.93985308,2021-56,2021-56,34.9659232000,-106.6979425000
0.01147842,2021-57,2021-57,35.0853003000,-106.7005722000
4,2021-58,2021-58,35.0664231000,-106.6043549000
0.02295684,2021-59,2021-59,35.1262723000,-106.5393029000
0.0573921,2021-60,2021-60,35.1194863000,-106.5524235000
0.01147842,2021-61,2021-61,35.1342544000,-106.6617252000
0.00229568,2021-62,2021-62,35.1407560000,-106.6493710000
0.00459137,2021-63,2021-63,35.1244629000,-106.5809144000
0.087236,2021-64,2021-64,35.1603376000,-106.6427171000
0.17217631,2021-65,2021-65,35.1411279000,-106.6509583000
0.50505051,2021-66,2021-66,35.1138888000,-106.6593642000
0.03443526,2021-67,2021-67,35.0812993000,-106.4941557000
0.25252525,2021-68,2021-68,35.2764068000,-106.6077651000
0.02295684,2021-69,2021-69,35.1355679000,-106.5324006000
0.25252525,2021-70,2021-70,35.0744483000,-106.6019104000
0.03443526,2021-71,2021-71,35.0932710000,-106.5509054000
0.11478421,2021-72,2021-72,35.0817486000,-106.5977026000
0.01147842,2021-73,2021-73,35.1934274000,-106.6279462000
0.11478421,2021-74,2021-74,35.1126759000,-106.4931418000
0.17217631,2021-75,2021-75,35.0580074000,-106.6756334000
0.02295684,2021-76,2021-76,35.0935656000,-106.5864467000
0.50505051,2021-77,2021-77,35.1398864000,-106.6455604000
0.00459137,2021-78,2021-78,35.1329634000,-106.6726108000
0.25252525,2021-79,2021-79,35.1489795000,-106.6687409000
0.0573921,2021-80,2021-80,35.1153730000,-106.4923211000
25,2021-81,2021-81,35.1471801000,-106.5059578000
0.03443526,2021-82,2021-82,35.0981853000,-106.6642713000
0.02295684,2021-83,2021-83,35.0616062000,-106.5912302000
0.11478421,2021-84,2021-84,35.1326530000,-106.6609310000
0.05,2021-85,2021-85,35.1550359000,-106.6815071000
0.25252525,2021-86,2021-86,35.0869700000,-106.6217017000
0.0573921,2021-87,2021-87,35.1815504000,-106.6253992000
0.0573921,2021-88,2021-88,35.0669111000,-106.6897799000
0.25252525,2021-89,2021-89,34.1689000000,-106.5082034000
1.26262626,2021-90,2021-90,35.1342130000,-106.5103477000
0.50505051,2021-91,2021-91,35.0679039000,-106.5821172000
0.0573921,2021-92,2021-92,35.1146925000,-106.6715481000
0.0573921,2021-93,2021-93,35.0898621000,-106.5633304000
0.11478421,2021-94,2021-94,35.1261707000,-106.6842155000
0.04591368,2021-95,2021-95,35.1128456000,-106.5503076000
0.25252525,2021-96,2021-96,35.1557346000,-106.6396690000
0.0573921,2021-97,2021-97,35.1324158000,-106.6550138000
1.01010101,2021-98,2021-98,35.1262660000,-106.6805765000
0.0573921,2021-99,2021-99,35.0908510000,-106.6439145000
0.98714417,2021-100,2021-100,35.0978335000,-106.5958164000
0.11478421,2021-101,2021-101,35.1709987000,-106.6364615000
0.0573921,2021-102,2021-102,35.1120733000,-106.5641551000
0.50505051,2021-103,2021-103,35.0846638000,-106.6067036000
0.11478421,2021-104,2021-104,35.3368225000,-106.4874861000
0.0573921,2021-105,2021-105,35.0852217000,-106.6092846000
2,2021-106,2021-106,35.1316967000,-106.6660650000
0.11478421,2021-107,2021-107,35.0954101000,-106.6177113000
1.03305785,2021-108,2021-108,35.1684070000,-106.5587313000
0.02295684,2021-109,2021-109,35.1272704000,-106.6816808000
0.11478421,2021-110,2021-110,35.1650913000,-106.6561191000
1.01010101,2021-111,2021-111,35.1854729000,-106.5325846000
1.01010101,2021-112,2021-112,35.0594583000,-106.5938544000
0.50505051,2021-113,2021-113,34.9961426000,-106.6849755000
0.01147842,2021-114,2021-114,35.1601727000,-106.7105187000
2.0661157,2021-115,2021-115,35.1145257000,-106.5346538000
0.03443526,2021-116,2021-116,35.0940319000,-106.5938595000
0.01147842,2021-117,2021-117,35.0695423000,-106.5860316000
0.11478421,2021-118,2021-118,35.0892546000,-106.6635804000
0.11478421,2021-119,2021-119,35.1875007000,-106.5303291000
0.0573921,2021-120,2021-120,35.1006357000,-106.5940651000
1.01010101,2021-121,2021-121,35.0014603000,-106.6974582000
0.02295684,2022-1,2022-122,35.1202078000,-106.6785038000
0.50505051,2022-2,2022-123,35.0936974000,-106.5938595000
0.25252525,2022-3,2022-124,35.0641794000,-106.5994252000
0.17217631,2022-4,2022-125,35.0856570000,-106.5999378000
0.01147842,2022-5,2022-126,35.0618753000,-106.5922872000
0.00459137,2022-6,2022-127,35.0899389000,-106.6123709000
0.17217631,2022-7,2022-128,35.1752820000,-106.6979895000
0.03443526,2022-8,2022-129,35.1230598000,-106.5813370000
0.25252525,2022-9,2022-130,35.1175948000,-106.6841464000
0.11478421,2022-10,2022-131,35.1922754000,-106.7353456000
0.17217631,2022-11,2022-132,35.1210489000,-106.5551913000
0.11478421,2022-12,2022-133,35.1118861000,-106.6845873000
0.00114784,2022-13,2022-134,35.0462177000,-106.5000668000
0.17217631,2022-14,2022-135,35.1176242000,-106.6413889000
0.98714417,2022-15,2022-136,35.0907803000,-106.6649161000
0.00114784,2022-16,2022-137,35.1245105000,-106.6564975000
0.02295684,2022-17,2022-138,35.0661308000,-106.5849291000
0.02295684,2022-18,2022-139,35.0951175000,-106.6177113000
0.0573921,2022-19,2022-140,35.1219070000,-106.5332837000
0.0573921,2022-20,2022-141,35.1398565000,-106.5542558000
0.01147842,2022-21,2022-142,35.0816647000,-106.6127871000
0.5,2022-22,2022-143,35.0947957000,-106.6687850000
0.0573921,2022-23,2022-144,35.3157367000,-106.6073276000
0.02295684,2022-24,2022-145,35.0871284000,-106.6118172000
0.50505051,2022-25,2022-146,35.0831452000,-106.5997097000
0.11478421,2022-26,2022-147,35.0988383000,-106.6412433000
0.0573921,2022-27,2022-148,35.0953258000,-106.6826724000
0.01147842,2022-28,2022-149,35.0713442000,-106.6184445000
0.17217631,2022-29,2022-150,35.0674265000,-106.5906872000
0.03443526,2022-30,2022-151,35.1160107000,-106.6567179000
0.0573921,2022-31,2022-152,35.0563241000,-106.5735093000
0.50505051,2022-32,2022-153,35.0936378000,-106.6553362000
