siteName,siteNo,year,vegTotal,Latitude,Longitude,cottonwoodSum,rusOliveSum,nmOliveSum,saltcedarSum,precip,Date
Diversion,7,2000,93.87,34.167032,-106.8899486,31.08,NULL,NULL,21.84,11.75,2000
Ohkay Owingeh,1,2000,370.79,35.188051,-106.646919,197.1,3.25,122.3,NULL,14.466,2000
Badger,5,2000,263.79,35.34284,-106.5458,262.05,0.81,0.1,0.13,14.655,2000
Santa Ana,3,2000,534.16,34.812369,-106.714458,155.79,8.21,1.35,NULL,15.183,2000
Santo Domingo,2,2000,339.36,35.126753,-106.6884322,252.2,21.57,NULL,1.24,16.886,2000
Bobcat,6,2000,278.6,35.142853,-106.6819814,57.1,47.39,NULL,20.23,21.555,2000
Sandia,4,2000,622.81,34.648432,-106.7377022,70.06,84.17,NULL,NULL,22.55,2000
Santo Domingo,2,2001,320.11,35.126753,-106.6884322,209.16,16.65,NULL,2.07,8.5,2001
Ohkay Owingeh,1,2001,413.9,35.188051,-106.646919,196.69,5.07,166.04,1.29,8.804,2001
Santa Ana,3,2001,638.97,34.812369,-106.714458,162.77,12.53,21.04,NULL,8.966,2001
Diversion,7,2001,108.75,34.167032,-106.8899486,29.47,NULL,NULL,24.74,10.835,2001
Sandia,4,2001,631.01,34.648432,-106.7377022,92.27,83.7,NULL,NULL,11.459,2001
Bobcat,6,2001,219,35.142853,-106.6819814,54.14,27.77,NULL,9.8,11.95,2001
Badger,5,2001,279.06,35.34284,-106.5458,274.52,1.69,NULL,0.48,14.275,2001
Minnow,8,2002,215.17,35.068813,-106.6580575,163.27,6.84,NULL,NULL,7.563,2002
Ohkay Owingeh,1,2002,399.99,35.188051,-106.646919,214.54,5.68,142.48,0.05,9.418,2002
Sandia,4,2002,531.91,34.648432,-106.7377022,103.54,94.15,NULL,NULL,11.558,2002
Badger,5,2002,269.04,35.34284,-106.5458,267.23,NULL,0.22,NULL,11.894,2002
Bobcat,6,2002,141.16,35.142853,-106.6819814,54.92,16.27,NULL,9.36,12.886,2002
Diversion,7,2002,135.46,34.167032,-106.8899486,29.31,NULL,NULL,22.23,14.416,2002
Santo Domingo,2,2002,271.32,35.126753,-106.6884322,194.68,12.59,NULL,1.58,14.84,2002
Santa Ana,3,2002,570.94,34.812369,-106.714458,148.68,14.42,1.14,NULL,15.179,2002
Calabacillas,9,2002,441.77,36.0618,-106.0761,85.4,5.08,12.97,NULL,NULL,2002
Diversion,7,2003,57.22,34.167032,-106.8899486,25.05,NULL,0.08,18.22,8.165,2003
Minnow,8,2003,303.84,35.068813,-106.6580575,170.89,14.31,NULL,NULL,9.041,2003
Santa Ana,3,2003,502.18,34.812369,-106.714458,122.32,19.21,2.9,NULL,9.55,2003
Ohkay Owingeh,1,2003,400.36,35.188051,-106.646919,197.49,5.7,154.31,0.72,9.575,2003
Bobcat,6,2003,127.64,35.142853,-106.6819814,35.07,30.62,NULL,8.04,9.605,2003
Alameda,10,2003,186.12,35.191958,-106.6441893,62.93,20.58,NULL,18.04,9.672,2003
Santo Domingo,2,2003,250.35,35.126753,-106.6884322,188.7,11.86,NULL,1.16,9.8,2003
Sandia,4,2003,485.64,34.648432,-106.7377022,119.48,97.17,NULL,NULL,12.475,2003
Rt 66,14,2003,340.44,34.258342,-106.8831845,68.84,85.65,NULL,49.62,15.683,2003
BioPark,15,2003,191.87,34.648634,-106.7391728,41.2,38.19,NULL,3.21,16.833,2003
NHCC (National Hispanic Cultural Center),16,2003,440.81,34.647162,-106.738482,106.67,94.23,NULL,101.01,19.808,2003
Calabacillas,9,2003,624.64,36.0618,-106.0761,99.99,4.55,19.33,NULL,NULL,2003
Rt 66,14,2004,449.01,34.258342,-106.8831845,91.36,98.38,NULL,74.25,16.041,2004
Santa Ana,3,2004,586.41,34.812369,-106.714458,139.99,27.02,2.35,NULL,17.468,2004
San Jose,19,2004,395.72,34.660546,-106.7429525,161.43,61.23,NULL,138.45,17.812,2004
Montano,11,2004,280.67,35.190568,-106.6491626,139.02,39.24,13.77,23.85,18.337,2004
Bobcat,6,2004,350.66,35.142853,-106.6819814,38.67,44.77,NULL,17.13,18.81,2004
AOP/Umbreit (Albuquerque Overbank Project),17,2004,279.56,35.145288,-106.6803699,36.55,27.02,NULL,0.43,19.266,2004
BioPark,15,2004,217.01,34.648634,-106.7391728,23.21,10.55,NULL,2.22,19.712,2004
Harrison,18,2004,116.22,34.659664,-106.7421328,88.85,9.15,NULL,3.82,21.375,2004
Sandia,4,2004,523.64,34.648432,-106.7377022,122.72,99.22,NULL,NULL,21.904,2004
Minnow,8,2004,193.84,35.068813,-106.6580575,154.3,0.69,NULL,NULL,22.975,2004
RGNC (Rio Grande Nature Center),13,2004,249.67,35.015056,-106.6736953,10.69,7.2,NULL,5.78,23.229,2004
Diversion,7,2004,200.23,34.167032,-106.8899486,21.03,NULL,0.97,21.67,23.595,2004
NHCC (National Hispanic Cultural Center),16,2004,439.02,34.647162,-106.738482,101.15,97.07,NULL,91.96,23.77,2004
Santo Domingo,2,2004,276.84,35.126753,-106.6884322,165.09,NULL,NULL,NULL,23.95,2004
Ohkay Owingeh,1,2004,379.42,35.188051,-106.646919,194.05,6.42,153.54,0.45,24.122,2004
Alameda,10,2004,220.4,35.191958,-106.6441893,68.21,18.18,1.23,16.12,28.295,2004
Badger,5,2004,272.24,35.34284,-106.5458,270.15,0.38,0.15,NULL,NULL,2004
Calabacillas,9,2004,530.85,36.0618,-106.0761,29.55,4.3,4.27,NULL,NULL,2004
BioPark,15,2005,365.76,34.648634,-106.7391728,26.02,40.8,NULL,7.08,12.895,2005
Rt 66,14,2005,501.56,34.258342,-106.8831845,96.85,131.6,0.48,70.79,13.433,2005
Ohkay Owingeh,1,2005,397.99,35.188051,-106.646919,193.36,3.2,162.55,0.62,13.486,2005
San Jose,19,2005,406.35,34.660546,-106.7429525,172.95,63.4,NULL,136.38,13.531,2005
Sandia,4,2005,507.22,34.648432,-106.7377022,135.23,91.95,NULL,NULL,14,2005
Bobcat,6,2005,344.81,35.142853,-106.6819814,34,51.61,NULL,26.5,14.15,2005
AOP/Umbreit (Albuquerque Overbank Project),17,2005,213.35,35.145288,-106.6803699,34.6,28.77,NULL,NULL,15.041,2005
Harrison,18,2005,155.57,34.659664,-106.7421328,81.9,4.64,NULL,5.49,15.5,2005
Montano,11,2005,257.74,35.190568,-106.6491626,158.2,0.37,11.59,NULL,15.763,2005
Santa Ana,3,2005,625.76,34.812369,-106.714458,144.3,27.59,2.5,NULL,15.775,2005
Minnow,8,2005,290.41,35.068813,-106.6580575,175.13,NULL,NULL,NULL,15.809,2005
Diversion,7,2005,102.25,34.167032,-106.8899486,22,NULL,NULL,26.17,15.912,2005
Alameda,10,2005,196.43,35.191958,-106.6441893,47.35,14.98,3.4,12.27,16.333,2005
Santo Domingo,2,2005,295.96,35.126753,-106.6884322,165.89,NULL,NULL,NULL,18.39,2005
VDO (Valle de Oro),20,2005,223.63,35.100641,-106.6914783,64.36,24.14,NULL,2.83,18.531,2005
RGNC (Rio Grande Nature Center),13,2005,326.05,35.015056,-106.6736953,15.42,13,0.95,9.69,19.759,2005
NHCC (National Hispanic Cultural Center),16,2005,515.66,34.647162,-106.738482,97.55,87.59,NULL,112.31,20.187,2005
Badger,5,2005,280.23,35.34284,-106.5458,272.01,1.3,3.04,NULL,NULL,2005
Calabacillas,9,2005,496.57,36.0618,-106.0761,38.99,4.29,7.38,NULL,NULL,2005
SLO (State Land Office),21,2006,350.73,35.195569,-106.6416219,89,NULL,NULL,NULL,0,2006
VDO (Valle de Oro),20,2006,292.14,35.100641,-106.6914783,45.4,36.29,NULL,6.53,9.927,2006
Santa Ana,3,2006,529.93,34.812369,-106.714458,125.76,23.52,2.56,NULL,14.47,2006
Bobcat,6,2006,346.45,35.142853,-106.6819814,45.09,61.21,NULL,40.89,15.795,2006
Savannah,12,2006,216.41,35.193151,-106.646915,142.61,7.3,3.86,2.02,16.462,2006
Rt 66,14,2006,505.7,34.258342,-106.8831845,98.31,135.14,0.68,73.06,17.366,2006
Minnow,8,2006,332.61,35.068813,-106.6580575,177,0.27,NULL,NULL,18.027,2006
Santo Domingo,2,2006,359.03,35.126753,-106.6884322,161.29,NULL,NULL,NULL,19.104,2006
AOP/Umbreit (Albuquerque Overbank Project),17,2006,375.88,35.145288,-106.6803699,37.25,32.95,NULL,NULL,19.341,2006
RGNC (Rio Grande Nature Center),13,2006,384.67,35.015056,-106.6736953,27.87,26.24,NULL,6,19.904,2006
Montano,11,2006,211.28,35.190568,-106.6491626,138.72,0.14,10.05,0.13,21.016,2006
Harrison,18,2006,124.64,34.659664,-106.7421328,84.81,1.4,NULL,1.68,21.5,2006
San Jose,19,2006,384.3,34.660546,-106.7429525,156.58,61.21,NULL,139.1,21.795,2006
Alameda,10,2006,250.92,35.191958,-106.6441893,58.92,12.04,0.5,14.12,22.908,2006
BioPark,15,2006,330.53,34.648634,-106.7391728,24.71,47.34,NULL,7.34,23.754,2006
Sandia,4,2006,449.18,34.648432,-106.7377022,154.35,102.45,NULL,NULL,24.166,2006
