year,site,average precip
2000,1,14.46666667
2000,2,16.88636364
2000,3,15.18333333
2000,4,22.55
2000,5,14.655
2000,6,21.555
2000,7,11.75
2001,1,8.804545455
2001,2,8.5
2001,3,8.966666667
2001,4,11.45909091
2001,5,14.275
2001,6,11.95
2001,7,10.835
2002,1,9.418181818
2002,2,14.84090909
2002,3,15.17916667
2002,4,11.55833333
2002,5,11.89444444
2002,6,12.88636364
2002,7,14.41666667
2002,8,7.563636364
2002,10,9.833333333
2002,11,9.466666667
2002,12,4
2003,1,9.575
2003,2,9.8
2003,3,9.55
2003,4,12.475
2003,5,12.68333333
2003,6,9.605555556
2003,7,8.165
2003,8,9.041666667
2003,10,9.672727273
2003,11,7.666666667
2003,12,10.67916667
2003,13,11.05625
2003,14,15.68333333
2003,15,16.83333333
2003,16,19.80833333
2004,1,24.12272727
2004,2,23.95
2004,3,17.46818182
2004,4,21.90416667
2004,6,18.81
2004,7,23.595
2004,8,22.975
2004,10,28.295
2004,11,18.3375
2004,12,18.81363636
2004,13,23.22916667
2004,14,16.04166667
2004,15,19.7125
2004,16,23.77083333
2004,17,19.26666667
2004,18,21.375
2004,19,17.8125
2005,1,13.48636364
2005,2,18.39090909
2005,3,15.775
2005,4,14
2005,6,14.15
2005,7,15.9125
2005,8,15.80909091
2005,10,16.33333333
2005,11,15.76363636
2005,12,17.235
2005,13,19.75909091
2005,14,13.43333333
2005,15,12.89545455
2005,16,20.1875
2005,17,15.04166667
2005,18,15.5
2005,19,13.53181818
2005,20,18.53181818
2006,1,24.2625
2006,2,19.10454545
2006,3,14.47083333
2006,4,24.16666667
2006,6,15.79545455
2006,7,28.77083333
2006,8,18.02727273
2006,10,22.90833333
2006,11,21.01666667
2006,12,16.4625
2006,13,19.90416667
2006,14,17.36666667
2006,15,23.75416667
2006,16,25.69583333
2006,17,19.34166667
2006,18,21.5
2006,19,21.79583333
2006,20,9.927272727
2006,21,0
2007,1,19.225
2007,2,14.29583333
2007,3,15.58181818
2007,4,16.39166667
2007,5,12.8
2007,6,16.45833333
2007,7,18.47916667
2007,8,16.775
2007,10,18.10416667
2007,11,18.15833333
2007,12,18.7375
2007,13,23.4125
2007,14,13.53333333
2007,15,13.87916667
2007,16,15.47083333
2007,17,18.87083333
2007,18,14.04166667
2007,19,13.83333333
2007,20,16.26666667
2007,21,18.22083333
2007,22,18.42916667
2007,23,17.9
2008,1,12.94166667
2008,2,12.875
2008,3,12.3125
2008,4,16.225
2008,5,18.1875
2008,6,12.2625
2008,7,13.10833333
2008,8,12.1625
2008,10,12.80833333
2008,11,11.84166667
2008,12,10.69545455
2008,13,16.04166667
2008,14,13.98333333
2008,15,14.22916667
2008,16,15.35
2008,17,13.77916667
2008,18,21.63333333
2008,19,18.9875
2008,20,11.42916667
2008,21,10.82083333
2008,22,11.30416667
2008,23,12.1
2008,24,16.67727273
2009,1,15.52083333
2009,2,9.583333333
2009,3,14.20833333
2009,4,10.48636364
2009,5,13.19285714
2009,6,13.5125
2009,7,10.825
2009,8,15.45833333
2009,10,14.02272727
2009,11,11.9625
2009,12,11.47916667
2009,13,15.17083333
2009,14,10.89090909
2009,15,11.6625
2009,16,14.75
2009,17,11.35833333
2009,18,10.00833333
2009,19,12.25
2009,20,13.1
2009,21,9.254166667
2009,22,13.64583333
2009,23,12.79166667
2009,24,18.245
2010,1,17.25
2010,2,15.33333333
2010,3,15.85833333
2010,4,15.48
2010,5,18.76363636
2010,6,15.38333333
2010,7,16.25
2010,8,17.04583333
2010,10,14.2125
2010,11,14.92083333
2010,12,13.325
2010,13,14.27083333
2010,14,11.79545455
2010,15,13.9875
2010,16,16.275
2010,17,14.50833333
2010,18,12.49583333
2010,19,13.85
2010,20,15.48333333
2010,21,13.30833333
2010,22,18.86666667
2010,23,21.36666667
2010,24,27.13333333
2011,1,9.191666667
2011,2,11.34583333
2011,3,13.91666667
2011,4,11.95833333
2011,5,12.10416667
2011,6,9.145833333
2011,7,12.87272727
2011,8,11.94166667
2011,10,7.258333333
2011,11,8.304166667
2011,12,5.254166667
2011,13,9.304166667
2011,14,8.691666667
2011,15,12.15
2011,16,14.42727273
2011,17,10.80416667
2011,18,9.004166667
2011,19,11.05416667
2011,20,8.625
2011,21,6.766666667
2011,22,5.83
2011,23,10.23333333
2011,24,13.91666667
2011,25,25.725
2011,26,17.35714286
